customer_key,customer_id,first_name,last_name,full_name,gender,birthdate,age_range,email,phone,mobile,address_line1,address_line2,city,state,postal_code,country,loyalty_id,loyalty_tier,loyalty_points,member_since,customer_segment,income_range,household_size,opt_in_email,opt_in_sms,opt_in_push,current_flag,effective_from,effective_to,row_created_date,row_updated_date
1,CUST-000001,Diya,Iyer,Diya Iyer,Female,8/13/1974,45-54,diya.iyer20@example.com,-120732,-180680,"743, Main St",Block A,Kolkata,West Bengal,700001,India,LTY-000001,Silver,3413,9/5/2022,Occasional,10L-20L,3,1,1,0,1,9/16/2024 0:00,,9/16/2024 13:00,8/6/2025 0:00
2,CUST-000002,Isha,Iyer,Isha Iyer,Female,7/16/1962,55-64,isha.iyer22@example.com,-125471,-167675,"811, Park St",Near Mall,Pune,Maharashtra,411001,India,LTY-000002,Bronze,1337,11/11/2025,Occasional,10L-20L,6,1,0,1,1,5/12/2024 0:00,,5/12/2024 12:00,9/11/2024 0:00
3,CUST-000003,Varun,Iyer,Varun Iyer,Male,12/6/1990,25-34,varun.iyer77@example.com,-165929,-112181,"909, MG Road",Block D,Bengaluru,Karnataka,560001,India,LTY-000003,Gold,8517,10/3/2021,Regular,3L-6L,3,1,0,0,1,6/6/2025 0:00,,6/6/2025 21:00,2/1/2026 0:00
4,CUST-000004,Michael,Hall,Michael Hall,Male,11/1/1962,55-64,michael.hall70@example.com,-521980,-357829,"391, Main St",Near Mall,Manchester,England,M1,UK,LTY-000004,Bronze,749,9/16/2022,Regular,Unknown,2,1,0,0,1,1/28/2021 0:00,,1/29/2021 0:00,8/31/2021 0:00
6,CUST-000006,Diya,Rao,Diya Rao,Female,6/24/1956,65+,diya.rao68@example.com,-154765,-117649,"447, Park St",Block D,New Delhi,Delhi,110001,India,LTY-000006,Platinum,14104,5/22/2021,Occasional,3L-6L,3,1,0,1,1,2/22/2022 0:00,,2/22/2022 8:00,4/1/2022 0:00
1151,CUST-000006,Diya,Rao,Diya Rao,Female,6/24/1956,65+,diya.rao68@example.com,-154765,-117649,"864, Hill Rd",Sector 41,Jaipur,Rajasthan,302001,India,LTY-000006,Platinum,18090,5/22/2021,Occasional,3L-6L,3,1,0,1,0,1/1/2021 0:00,7/6/2021 0:00,1/1/2021 16:00,7/6/2021 1:00
8,CUST-000008,Vikram,Nair,Vikram Nair,Male,5/27/1989,35-44,vikram.nair22@example.com,-117393,-120633,"191, MG Road",Opp. Park,Bengaluru,Karnataka,560001,India,LTY-000008,Gold,13807,11/22/2021,Regular,<3L,6,1,1,1,1,11/29/2023 0:00,,11/29/2023 5:00,10/19/2024 0:00
9,CUST-000009,Priya,Rao,Priya Rao,Female,12/14/1991,25-34,priya.rao56@example.com,-162349,-164511,"786, Park St",Block B,Patna,Bihar,800001,India,LTY-000009,Bronze,788,9/10/2023,Regular,6L-10L,3,0,1,0,1,5/19/2025 0:00,,5/19/2025 16:00,12/15/2025 0:00
10,CUST-000010,Kavya,Shah,Kavya Shah,Female,9/12/2006,18-24,kavya.shah70@example.com,-118396,-97628,"382, Main St",Opp. Park,Jaipur,Rajasthan,302001,India,LTY-000010,Bronze,708,5/15/2025,Regular,3L-6L,5,1,0,0,1,4/13/2025 0:00,,4/13/2025 2:00,3/22/2026 0:00
11,CUST-000011,Isha,Kapoor,Isha Kapoor,Female,11/27/1977,45-54,isha.kapoor82@example.com,-127638,-85915,"199, Ring Rd",Opp. Park,Patna,Bihar,800001,India,LTY-000011,Silver,2542,6/29/2025,New,>20L,3,1,0,1,1,8/21/2022 0:00,,8/21/2022 5:00,12/13/2022 0:00
